index,imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,tipo_imov,total,preco_m2,dist_unicamp
1,C,c30dc1232b74da53fdf12534921ec21d,Chácara Antonieta,650.0,252.7,48.0,2,1,0.0,"Com localização próxima à Unicamp (FCA), este apartamento no 1º andar do Condomínio Imperial possui 02 dormitórios, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
48      M2
1º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto,902.7,18.80625,1.5023394363777396
2,C,1faca62d62e45809840336e864c501d3,Chácara Antonieta,650.0,252.7,48.0,2,1,0.0,"Com localização próxima à Unicamp (FCA), este apartamento no 2º andar do Condomínio Imperial possui 02 dormitórios, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
48      M2
2º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto,902.7,18.80625,1.5023394363777396
3,C,649bab7a6b00fddd621b7b5a47224e14,Chácara Antonieta,650.0,252.7,48.0,2,1,0.0,"Com localização próxima à Unicamp (FCA), este apartamento no 3º andar do Condomínio Imperial possui 02 dormitórios, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
48      M2
3º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto,902.7,18.80625,1.5023394363777396
13,C,c36795832017b3fd7906b13be302df3c,Chácara Antonieta,550.0,225.9,30.0,1,1,0.0,"Apartamento bem arejado na Chacara Antonieta, contendo 01 quarto, sala e cozinha conjugados e banheiro.
30      M2
TERREO ANDAR TERREO
1       QUARTO
1       SALA CONJUGADA COM COZINHA
1       COZINHA
1       BANHEIRO
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto,775.9,25.863333333333333,1.5023394363777396
14,C,e73692c0f13efc757b5a269e746429e9,Chácara Antonieta,650.0,252.7,40.0,2,1,0.0,"Apartamento localizado próximo à UNICAMP - FCA - contendo 02 dormitórios, sala, cozinha, banheiro, lavanderia e 01 vaga para carro.
40      M2
TERREO ANDAR TéRREO
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto,902.7,22.567500000000003,1.5023394363777396
20,C,660f29bab4766650b9e3e62aae4f6730,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,"Kitinet próximo à Unicamp (FCA) sendo 01 quarto e cozinha conjugados, banheiro e área de serviço. O imóvel  possui: geladeira, cama, colchão, cortina black out, fogão, armário e conta também com cerca elétrica, interfone, cameras de monitoramento além de ter incluso em seu aluguel as despesas de água, energia e iptu.
1       QUARTO CONJUGADO
1       COZINHA CONJUGADO
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",kitnet,850.0,,1.3854276880650611
25,C,75015c4a112141415b0d6da92bf03be7,JD. Cidade Universitária I,650.0,0.0,25.0,1,1,0.0,"Kitinet localizada na Cidade Universitária próximo a Unicamp (FCA) contendo 01 quarto e cozinha conjugados, banheiro e lavanderia. Imóvel ainda conta com 01 sala de estudos de uso compartilhado na parte superior.
25      M2
1       QUARTO CONJUGADO COM COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE E GESSO",kitnet,650.0,26.0,1.3854276880650611
26,C,17e432c6fd9c0be3a2cbf043f3bd8387,JD. Cidade Universitária I,750.0,0.0,,1,1,0.0,"Kitinet localizada na Cidade Universitária próximo a Unicamp (FCA) contendo 01 quarto e cozinha conjugados, banheiro e lavanderia, imóvel também possui cama e micro-ondas.
1       QUARTO CONJUGADO COM COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE E GESSO",kitnet,750.0,,1.3854276880650611
35,C,b3b477f0632310b03bde750706df4596,JD. Paulista,950.0,0.0,16.0,1,1,0.0,"Kitnet localizada próximo à Unicamp (FCA) contendo 01 dormitório com cama e guarda-roupas, cozinha com geladeira e microondas, lavanderia, banheiro e também conta com uma área de lazer com piscina e churrasqueira.
16      M2
1       QUARTO 01 CAMA BOX E GUARDA-ROUPA
1       COZINHA COM MICROONDAS E GELADEIRA
1       BANHEIRO
1       LAVANDERIA
AREA DE LAZER COM CHURRASQUEIRA E PISCINA
PISO CERÂMICO
TETO LAJE",kitnet,950.0,59.375,0.4476004851487637
36,C,d7605883477939a58e52e551391d5dcb,JD. Paulista,950.0,0.0,16.0,1,1,0.0,"Kitnet localizada próximo à Unicamp (FCA) contendo 01 dormitório com cama e guarda-roupas, cozinha com geladeira e microondas, lavanderia, banheiro e também conta com uma área de lazer com piscina e churrasqueira
16      M2
1       QUARTO COM CAMA E GUARDA-ROUPAS
1       COZINHA COM GELADEIRA E MICROONDAS
1       BANHEIRO
1       LAVANDERIA
ÁREA DE LAZER COM PISCINA E CHURRASQUEIRA
PISO CERAMICO
TETO LAJE",kitnet,950.0,59.375,0.4476004851487637
